batch,time
1220,4167
1221,3708
1222,4125
1223,3916
1224,3833
1225,3958
1226,4000
1227,5416
1228,4166
1229,3958
1230,4125
1231,3791
1232,3875
1233,3875
1234,3750
1235,5042
1236,4250
1237,4667
1238,3875
1239,4083
1240,4833
1241,4250
1242,3875
1243,4584
1244,5292
1245,4167
1246,4417
1247,4792
1248,3958
1249,4125
1250,4083
1251,4666
1252,3833
1253,4458
1254,3833
1255,4084
1256,4167
1257,4250
1258,3875
1259,4458
1260,4042
1261,4042
1262,4083
1263,3834
1264,3750
1265,4208
1266,3708
1267,4000
1268,4542
1269,3958
1270,4125
1271,4125
1272,4750
1273,3792
1274,4083
1275,4333
1276,4792
1277,3917
1278,3709
1279,3875
1280,3834
1281,3750
1282,4083
1283,3750
1284,4666
1285,3791
1286,3708
1287,4084
1288,3834
1289,4000
1290,3833
1291,3875
1292,4583
1293,4375
1294,4292
1295,3958
1296,4375
1297,3833
1298,4125
1299,4209
1300,4791
1301,4333
1302,4875
1303,4167
1304,4583
1305,4583
1306,3917
1307,4459
1308,4542
1309,5125
1310,4208
1311,4125
1312,3792
1313,4208
1314,4000
1315,4000
1316,3667
1317,5375
1318,3750
1319,3875
1320,4458
1321,4375
1322,4166
1323,3875
1324,4291
1325,5333
1326,4417
1327,4292
1328,4208
1329,4500
1330,4666
1331,4458
1332,4208
1333,4875
1334,4542
1335,4875
1336,4334
1337,4500
1338,4125
1339,4458
1340,3916
1341,5000
1342,4000
1343,4000
1344,4209
1345,4041
1346,4125
1347,4333
1348,3791
1349,4167
1350,4291
1351,3792
1352,4291
1353,3791
1354,3792
1355,3792
1356,4083
1357,4250
1358,4542
1359,3875
1360,4000
1361,4041
1362,4250
1363,4000
1364,3958
1365,3917
1366,4542
1367,3959
1368,3917
1369,4125
1370,3833
1371,3750
1372,4000
1373,4792
1374,4541
1375,3750
1376,4292
1377,3833
1378,4417
1379,3750
1380,4000
1381,4292
1382,5167
1383,4625
1384,4250
1385,4583
1386,4750
1387,4375
1388,4500
1389,4333
1390,4125
1391,4417
1392,4125
1393,4625
1394,4208
1395,3833
1396,3750
1397,4209
1398,4667
1399,4875
1400,3958
1401,4500
1402,4250
1403,4041
1404,4208
1405,3959
1406,3750
1407,5166
1408,4125
1409,3958
1410,3708
1411,4208
1412,3875
1413,4167
1414,4000
1415,4708
1416,3791
1417,3791
1418,3959
1419,5208
1420,4167
1421,4417
1422,3875
1423,4875
1424,4000
1425,4459
1426,4083
1427,4458
1428,4291
1429,4125
1430,4166
1431,4458
1432,4458
1433,3916
1434,4208
1435,4125
1436,4167
1437,4333
1438,4375
1439,4458
1440,5000
1441,4166
1442,3875
1443,4459
1444,4000
1445,4209
1446,4334
1447,4375
1448,4916
1449,4083
1450,4125
1451,4292
1452,4084
1453,3833
1454,4209
1455,4416
1456,4583
1457,3917
1458,4000
1459,3917
1460,3750
1461,4250
1462,4000
1463,3875
1464,4541
1465,4167
1466,4167
1467,3792
1468,3792
1469,3750
1470,3875
1471,3959
1472,4625
1473,4125
1474,4041
1475,3916
1476,4000
1477,3917
1478,3792
1479,3667
1480,3792
1481,4334
1482,3667
1483,3833
1484,4000
1485,3667
1486,3666
1487,3667
1488,3750
1489,4625
1490,3750
1491,4083
1492,3750
1493,3958
1494,3834
1495,3958
1496,3792
1497,5042
1498,3959
1499,5209
1500,4333
1501,3875
1502,4708
1503,4834
1504,3917
1505,4875
1506,4208
1507,3708
1508,3750
1509,4375
1510,3708
1511,3792
1512,4250
1513,4417
1514,3917
1515,3958
1516,3709
1517,3708
1518,3667
1519,3667
1520,3750
1521,3708
1522,4250
1523,3708
1524,3709
1525,3917
1526,4000
1527,3666
1528,3708
1529,3709
1530,4291
1531,3709
1532,3958
1533,3667
1534,3709
1535,3791
1536,3792
1537,3708
1538,4416
1539,3833
1540,3709
1541,3667
1542,3666
1543,3708
1544,3709
1545,3708
1546,4250
1547,3666
1548,3708
1549,3917
1550,3708
1551,3667
1552,3667
1553,3958
1554,4375
1555,3958
1556,3709
1557,3750
1558,3709
1559,3792
1560,3667
1561,4042
1562,3750
1563,4209
1564,3708
1565,3917
1566,3708
1567,3708
1568,3792
1569,3833
1570,3958
1571,4583
1572,4000
1573,3791
1574,3833
1575,3834
1576,3709
1577,3792
1578,3708
1579,4292
1580,3750
1581,3750
1582,3875
1583,3708
1584,3750
1585,3833
1586,4250
